,
native_pipe_operator,
conferences_and_workshops,
rationale_for_use_in_systems_programming,
procedural_programming_style,
type_conversion,
ecosystem,
growth_and_standardization,
versions,
standardization,
functions_as_object_constructors,
omissions,
memory_handling,
case_classes_and_pattern_matching,
abstract_syntax_tree_transformation,
ansi_c_and_iso_c,
regular_expressions,
pointers,
arrays,
trademark,
book_sources,
portability,
arithmetic_operations,
traits,
standardization_and_licensing,
vendor_specific_extensions,
javaserver_pages,
syntax_changes_and_additions,
swing_application,
early_developments,
history,
use,
features,
functions_as_methods,
kotlin_interactive_shell,
zero_based_numbering,
just_in_time_compilation,
transpilers,
php_objects,
automatic_memory_management,
object_oriented_extensions,
functional,
delegative,
typing,
branding_and_styling,
mascot,
procedural_macros,
libraries_runtime_development,
pipeline,
popularity_and_usage_statistics,
interface_with_c_and_c,
classes_are_final_by_default,
cluster_computing,
inline_assembly,
property,
editions,
generic_code_using_parameterized_types,
linting_tools,
abstract_classes_are_open_by_default,
release_history,
lack_of_data_race_safety,
languages_that_compile_to_lua,
reception,
php_,
evolution_,
language_rankings,
memory_access,
classes,
web_servers,
functional_programming,
bibliography,
operators,
alternative_implementations,
security,
projects,
powershell_core_,
string_interpolation,
deploying_to_native_platforms,
overview,
platform_support,
early_history,
memory_safety,
principles,
see_also,
graphics_and_graphical_user_interface_programming,
dynamic,
hello_world,
addition_of_the_match_expression,
haskell_,
data_classes,
unified_type_system,
citations,
naming,
tables,
structures,
example_with_classes,
external_links,
flutter,
companies,
boxing_and_unboxing,
self_contained_executable,
java,
scope_functions,
file_handling_and_streams,
inheritance,
in_academic_research,
additional_changes,
vectors_and_matrices,
string_repetition_with_allocator,
modeling_and_plotting,
modules_and_namespaces,
repositories_and_libraries,
classes_are_public_by_default,
exceptions,
types_of_use,
data_storage,
unpack_arguments_with_spread_operator,
curry,
code_examples,
monad,
dartpad,
prototypes,
browser_and_plugin_coding_errors,
if_expressions,
structures_and_unix_kernel_re_write,
editors,
php__and_unicode,
use_outside_the_java_platform,
support_for_structured_programming,
cmdlets,
macros,
development_environments,
run_time_evaluation,
cross_site_request_forgery,
alternative_implementation,
namespace,
installation_and_configuration,
standard_library_changes_and_additions,
ruby__and_,
servo_and_early_adoption_,
mandelbrot_set,
implementation,
windows_powershell_,
functions_as_roles_traits_and_mixins,
enumerated_types,
comparisons_to_other_languages,
cross_compilers_to_other_languages,
dart_kernel_module,
extension_functions,
specification,
named_commands,
special_classes,
concurrency,
metaprogramming,
everything_is_an_expression,
application_support,
destructuring_declarations,
lambdas,
embedded_c,
the_rise_of_jscript,
block_expressions_and_control_flow,
design_goals,
weakly_typed,
design_philosophy_and_features,
examples_of_scripted_behavior,
use_of_assembly_language,
mozilla_sponsorship_,
promises,
types,
syntax,
powershell,
assembly_directives,
main_entry_point,
style,
compiler,
direct_interaction_with_c,
ide_support,
user_defined_types,
for_expressions,
suitability_for_parallel_programming,
pattern_matching,
other_usage,
polymorphism,
android,
sources,
trait_objects,
rust_foundation,
ide_and_editor_support,
asyncawait,
just_in_time_module,
libraries_and_frameworks,
governance_teams,
object_orientation_prototype_based,
c,
access_control,
applet,
sandbox_implementation_errors,
versioning,
comptime,
loop_and_break_statements,
string_support,
type_annotations,
functions,
clippy,
semantics_and_philosophy,
prototype_extension,
unsupported_implementations,
value_types,
anonymous_function,
references,
for_loops_and_iterators,
website_client_side_usage,
class_libraries,
non_jvm,
